model,image,spatial_entropy,mask_energy,effective_rank
hamer,test1.jpg,12.563996315002441,1.0,48.88756302804273
hamer,test2.jpg,12.642313003540039,1.0,56.817589009507124
hamer,test3.jpg,12.580745697021484,1.0,52.5694460040397
hamer,test4.jpg,12.573553085327148,1.0,52.55800413411359
hamer,test5.jpg,12.50526237487793,1.0,47.84418025699161
animer,test1.jpg,12.746136665344238,1.0,80.32399105319189
animer,test2.jpg,12.690637588500977,1.0,72.92618640241345
animer,test3.jpg,12.813100814819336,1.0,84.15538161330011
animer,test4.jpg,12.790242195129395,1.0,77.00351648733105
animer,test5.jpg,12.775774955749512,1.0,80.38805663582548
