Group,Layer,KTI,Entropy,Rank
Pretrained_Baseline,0,0.0009251642741219257,4.634377956390381,0.0
Pretrained_Baseline,1,0.0028902137481418323,4.388838291168213,0.0
Pretrained_Baseline,2,0.0018984286148406681,3.693798542022705,0.0
Pretrained_Baseline,3,0.0023993191420595395,3.450852394104004,0.0
Pretrained_Baseline,4,0.0023964876601530703,3.868159294128418,0.0
Pretrained_Baseline,5,0.0043188327744428535,3.096810817718506,0.0
Pretrained_Baseline,6,0.005154748340573861,2.9410643577575684,0.0
Pretrained_Baseline,7,0.0070457787667692175,2.7607760429382324,0.0
Pretrained_Baseline,8,0.005664615940477233,3.1994845867156982,0.0
Pretrained_Baseline,9,0.0024484189902068466,3.089653730392456,0.0
Pretrained_Baseline,10,0.005713034428335959,2.6236836910247803,0.0
Pretrained_Baseline,11,0.0037176152041502064,3.4553561210632324,0.0
Pretrained_Baseline,12,0.004103682206987287,3.471005439758301,0.0
Pretrained_Baseline,13,0.0018747361185160116,3.7122809886932373,0.0
Pretrained_Baseline,14,0.001916461971886747,3.8144052028656006,0.0
Pretrained_Baseline,15,0.0016735784704178514,3.633159875869751,0.0
Pretrained_Baseline,16,0.0014254026352864457,3.8089170455932617,0.0
Pretrained_Baseline,17,0.0016436451310073608,3.652949810028076,0.0
Pretrained_Baseline,18,0.0012954614858062996,3.8760488033294678,0.0
Pretrained_Baseline,19,0.001641345300795365,3.6374170780181885,0.0
Pretrained_Baseline,20,0.0014832100600870035,3.6242761611938477,0.0
Pretrained_Baseline,21,0.0015220345509987965,3.741119623184204,0.0
Pretrained_Baseline,22,0.0013035362290247576,3.881023645401001,0.0
Pretrained_Baseline,23,0.001312993374931466,3.67585825920105,0.0
Pretrained_Baseline,24,0.0015331767910174677,3.8050572872161865,0.0
Pretrained_Baseline,25,0.0010588753825140885,3.8463056087493896,0.0
Pretrained_Baseline,26,0.0010906770494693773,4.040999889373779,0.0
Pretrained_Baseline,27,0.0010356903072715794,3.968106269836426,0.0
Pretrained_Baseline,28,0.0011272769209699617,4.014308452606201,0.0
Pretrained_Baseline,29,0.0010435257407698372,4.004180431365967,0.0
Pretrained_Baseline,30,0.0009448960275221907,4.298698425292969,0.0
Pretrained_Baseline,31,0.00098238695537475,4.369624137878418,0.0
