Group,Layer,KTI,Entropy,Rank
T2-Static-Late,0,0.0004886877120828942,4.590635299682617,0.0
T2-Static-Late,1,0.0014694754588194343,4.415576934814453,0.0
T2-Static-Late,2,0.0010034190744434943,3.685171604156494,0.0
T2-Static-Late,3,0.0012626513039327536,3.349562406539917,0.0
T2-Static-Late,4,0.0013811952740840098,3.793067693710327,0.0
T2-Static-Late,5,0.002257448399410099,3.0544486045837402,0.0
T2-Static-Late,6,0.0028879034764250212,2.8754167556762695,0.0
T2-Static-Late,7,0.0038839505463141195,2.6733648777008057,0.0
T2-Static-Late,8,0.0031706182356436986,3.1230413913726807,0.0
T2-Static-Late,9,0.0012777655560176435,3.049820899963379,0.0
T2-Static-Late,10,0.002974808010391677,2.5864195823669434,0.0
T2-Static-Late,11,0.001848682837009885,3.4252092838287354,0.0
T2-Static-Late,12,0.0021071184032219244,3.4372200965881348,0.0
T2-Static-Late,13,0.0010121076656067255,3.7144484519958496,0.0
T2-Static-Late,14,0.0009387339446770892,3.8211166858673096,0.0
T2-Static-Late,15,0.000825091877524717,3.608158826828003,0.0
T2-Static-Late,16,0.0006851122895873085,3.838866949081421,0.0
T2-Static-Late,17,0.0008515441278123897,3.6353919506073,0.0
T2-Static-Late,18,0.0006387651564922922,3.9038333892822266,0.0
T2-Static-Late,19,0.0007994433077263757,3.7138876914978027,0.0
T2-Static-Late,20,0.0007287207950879928,3.7323157787323,0.0
T2-Static-Late,21,0.0007397732585007889,3.7888529300689697,0.0
T2-Static-Late,22,0.0005668163542394848,3.9660699367523193,0.0
T2-Static-Late,23,0.0005881805516495057,3.800891160964966,0.0
T2-Static-Late,24,0.0005589222310306863,4.105816841125488,0.0
T2-Static-Late,25,0.00045232013132757125,4.1475911140441895,0.0
T2-Static-Late,26,0.0004447259991620173,4.364041328430176,0.0
T2-Static-Late,27,0.00043830081880264215,4.2327775955200195,0.0
T2-Static-Late,28,0.0004513636003109832,4.278504371643066,0.0
T2-Static-Late,29,0.0004164814612015455,4.232403755187988,0.0
T2-Static-Late,30,0.0004045893048887634,4.4293718338012695,0.0
T2-Static-Late,31,0.0003562089597421946,4.533642768859863,0.0
