Group,Layer,KTI,Entropy,Rank
T2-A-S-Baseline,0,0.00048494263651215714,4.57080078125,0.0
T2-A-S-Baseline,1,0.0014440276696452458,4.353108882904053,0.0
T2-A-S-Baseline,2,0.0009220309779945419,3.6931755542755127,0.0
T2-A-S-Baseline,3,0.0012456305652492144,3.350537061691284,0.0
T2-A-S-Baseline,4,0.0012838728987401866,3.7591865062713623,0.0
T2-A-S-Baseline,5,0.0022460295078302545,2.9713149070739746,0.0
T2-A-S-Baseline,6,0.002853108610778247,2.792630672454834,0.0
T2-A-S-Baseline,7,0.0038169720213381895,2.5878045558929443,0.0
T2-A-S-Baseline,8,0.0030388892425654303,3.1610193252563477,0.0
T2-A-S-Baseline,9,0.0012381943768833116,3.1542203426361084,0.0
T2-A-S-Baseline,10,0.0027554768448914716,2.7723069190979004,0.0
T2-A-S-Baseline,11,0.0014834452628893658,3.650993585586548,0.0
T2-A-S-Baseline,12,0.001770928818912909,3.6091856956481934,0.0
T2-A-S-Baseline,13,0.0008542032981881842,3.9309775829315186,0.0
T2-A-S-Baseline,14,0.0008073377625894309,4.072953224182129,0.0
T2-A-S-Baseline,15,0.0007618087543128727,3.8400487899780273,0.0
T2-A-S-Baseline,16,0.0006508504818410987,4.080572605133057,0.0
T2-A-S-Baseline,17,0.0008092417844235997,3.775167465209961,0.0
T2-A-S-Baseline,18,0.0006069944992320352,4.068246364593506,0.0
T2-A-S-Baseline,19,0.0007342902617738245,3.8482367992401123,0.0
T2-A-S-Baseline,20,0.0006949956063339738,3.8669018745422363,0.0
T2-A-S-Baseline,21,0.0007345756594358116,3.864410161972046,0.0
T2-A-S-Baseline,22,0.0005999450132664978,4.040284633636475,0.0
T2-A-S-Baseline,23,0.000572726650596201,3.76267671585083,0.0
T2-A-S-Baseline,24,0.0006782097155932362,3.908768892288208,0.0
T2-A-S-Baseline,25,0.0004995225880736282,3.928795576095581,0.0
T2-A-S-Baseline,26,0.0004722926028535961,4.126054763793945,0.0
T2-A-S-Baseline,27,0.0004954439333363817,4.027198791503906,0.0
T2-A-S-Baseline,28,0.00048453493046045663,4.101872444152832,0.0
T2-A-S-Baseline,29,0.00044307669888575784,4.074749946594238,0.0
T2-A-S-Baseline,30,0.0004120615157773981,4.3193464279174805,0.0
T2-A-S-Baseline,31,0.00037410648976014387,4.40249490737915,0.0
