Group,Layer,KTI,Entropy,Rank
T2-Static-Mid,0,0.00047654462009422236,4.616306304931641,0.0
T2-Static-Mid,1,0.0014663338795179678,4.4056549072265625,0.0
T2-Static-Mid,2,0.0009514236255191669,3.670018196105957,0.0
T2-Static-Mid,3,0.0012553182062900836,3.3595786094665527,0.0
T2-Static-Mid,4,0.0013109034816165888,3.813939094543457,0.0
T2-Static-Mid,5,0.002265610460151353,3.024890422821045,0.0
T2-Static-Mid,6,0.002867111565285737,2.8612585067749023,0.0
T2-Static-Mid,7,0.0038257889363151067,2.6589858531951904,0.0
T2-Static-Mid,8,0.003168787763802617,3.081265926361084,0.0
T2-Static-Mid,9,0.0012856860165645413,2.9901328086853027,0.0
T2-Static-Mid,10,0.0030551842859049007,2.5125105381011963,0.0
T2-Static-Mid,11,0.0019594451695482615,3.323861598968506,0.0
T2-Static-Mid,12,0.0021335242073985132,3.3524177074432373,0.0
T2-Static-Mid,13,0.0010712418459792998,3.6422317028045654,0.0
T2-Static-Mid,14,0.0009953000217210006,3.805023431777954,0.0
T2-Static-Mid,15,0.0008814129614951874,3.730940818786621,0.0
T2-Static-Mid,16,0.0006055643307081883,4.228071689605713,0.0
T2-Static-Mid,17,0.0007169736453648864,4.017416477203369,0.0
T2-Static-Mid,18,0.0005679332449581275,4.320832252502441,0.0
T2-Static-Mid,19,0.0006732777067140095,4.1256327629089355,0.0
T2-Static-Mid,20,0.0006264536282757805,4.147167682647705,0.0
T2-Static-Mid,21,0.0006744192846077944,4.1071038246154785,0.0
T2-Static-Mid,22,0.0005396906624914987,4.284429550170898,0.0
T2-Static-Mid,23,0.0005397080279267115,4.095160007476807,0.0
T2-Static-Mid,24,0.0006255913446836912,4.178830623626709,0.0
T2-Static-Mid,25,0.0004958816981535783,4.242323875427246,0.0
T2-Static-Mid,26,0.0004660490289083926,4.385104179382324,0.0
T2-Static-Mid,27,0.0004682755767691914,4.309347629547119,0.0
T2-Static-Mid,28,0.0004651017856367362,4.368088722229004,0.0
T2-Static-Mid,29,0.0004400265521692832,4.325882911682129,0.0
T2-Static-Mid,30,0.00040291167696108473,4.5017242431640625,0.0
T2-Static-Mid,31,0.00037040097821614275,4.570012092590332,0.0
