Group,Layer,KTI,Entropy,Rank
T2-KTI-Adaptive,0,0.00047527676525909856,4.626826763153076,0.0
T2-KTI-Adaptive,1,0.001517025462454127,4.392390251159668,0.0
T2-KTI-Adaptive,2,0.0009162561124948141,3.661454677581787,0.0
T2-KTI-Adaptive,3,0.0011964980100850101,3.3849077224731445,0.0
T2-KTI-Adaptive,4,0.0012657105987416673,3.8181862831115723,0.0
T2-KTI-Adaptive,5,0.0022135759820873496,3.0245754718780518,0.0
T2-KTI-Adaptive,6,0.0028229275631850193,2.834308385848999,0.0
T2-KTI-Adaptive,7,0.0036239278735960847,2.692650556564331,0.0
T2-KTI-Adaptive,8,0.0030261457948200015,3.200742721557617,0.0
T2-KTI-Adaptive,9,0.0012014854013068263,3.195115089416504,0.0
T2-KTI-Adaptive,10,0.0027801466168629863,2.768423557281494,0.0
T2-KTI-Adaptive,11,0.0014341287188856093,3.68001651763916,0.0
T2-KTI-Adaptive,12,0.0017534019679472112,3.622105121612549,0.0
T2-KTI-Adaptive,13,0.0008312044413324504,3.939378261566162,0.0
T2-KTI-Adaptive,14,0.0008007656692743809,4.079269886016846,0.0
T2-KTI-Adaptive,15,0.0007723020830135538,3.9001195430755615,0.0
T2-KTI-Adaptive,16,0.0006421704283255308,4.093569278717041,0.0
T2-KTI-Adaptive,17,0.0008212374131909911,3.806480646133423,0.0
T2-KTI-Adaptive,18,0.0006231282228838879,4.09306526184082,0.0
T2-KTI-Adaptive,19,0.0007524220421764441,3.8925540447235107,0.0
T2-KTI-Adaptive,20,0.0006998018202146361,3.9031004905700684,0.0
T2-KTI-Adaptive,21,0.0007369298595238408,3.890411615371704,0.0
T2-KTI-Adaptive,22,0.0005839945386739889,4.066412448883057,0.0
T2-KTI-Adaptive,23,0.0005676905045910251,3.846768379211426,0.0
T2-KTI-Adaptive,24,0.0006700668198456314,3.944948196411133,0.0
T2-KTI-Adaptive,25,0.0005107804575135015,4.003480911254883,0.0
T2-KTI-Adaptive,26,0.00048451291249610145,4.198389530181885,0.0
T2-KTI-Adaptive,27,0.0004947120077717218,4.10814094543457,0.0
T2-KTI-Adaptive,28,0.00048659137990423603,4.1698431968688965,0.0
T2-KTI-Adaptive,29,0.00047180447983230734,4.136434078216553,0.0
T2-KTI-Adaptive,30,0.0004150519684453151,4.347106456756592,0.0
T2-KTI-Adaptive,31,0.0003757061686284646,4.427910327911377,0.0
T2-A-H-Baseline,0,0.00047196686762799195,4.651309013366699,0.0
T2-A-H-Baseline,1,0.0014304409185569864,4.361005783081055,0.0
T2-A-H-Baseline,2,0.0009139432822062011,3.660170316696167,0.0
T2-A-H-Baseline,3,0.0012454506678844862,3.317911148071289,0.0
T2-A-H-Baseline,4,0.001284637888157172,3.7663733959198,0.0
T2-A-H-Baseline,5,0.0022309072155512048,3.0147879123687744,0.0
T2-A-H-Baseline,6,0.0028454294593646236,2.806583881378174,0.0
T2-A-H-Baseline,7,0.0036965071640015583,2.604898452758789,0.0
T2-A-H-Baseline,8,0.0030316922887798103,3.1971209049224854,0.0
T2-A-H-Baseline,9,0.0012090853045372098,3.204072952270508,0.0
T2-A-H-Baseline,10,0.0027969599141649,2.7957046031951904,0.0
T2-A-H-Baseline,11,0.001429056052798163,3.6883013248443604,0.0
T2-A-H-Baseline,12,0.0017599415236304167,3.6584768295288086,0.0
T2-A-H-Baseline,13,0.0008597883729656438,3.9738879203796387,0.0
T2-A-H-Baseline,14,0.0008118091566121439,4.0866851806640625,0.0
T2-A-H-Baseline,15,0.0007502345589048986,3.9205238819122314,0.0
T2-A-H-Baseline,16,0.0006264766762796348,4.1078267097473145,0.0
T2-A-H-Baseline,17,0.0007776947962036275,3.8311657905578613,0.0
T2-A-H-Baseline,18,0.000594615704926298,4.122401237487793,0.0
T2-A-H-Baseline,19,0.0007280330597580372,3.9196672439575195,0.0
T2-A-H-Baseline,20,0.0006737374239172689,3.9301438331604004,0.0
T2-A-H-Baseline,21,0.0007223380458374946,3.9150662422180176,0.0
T2-A-H-Baseline,22,0.0005863128038280948,4.0980730056762695,0.0
T2-A-H-Baseline,23,0.0005665848968665201,3.896458625793457,0.0
T2-A-H-Baseline,24,0.000647872543928753,3.9722766876220703,0.0
T2-A-H-Baseline,25,0.0005007127067664819,4.039962291717529,0.0
T2-A-H-Baseline,26,0.0004766525500832112,4.218252658843994,0.0
T2-A-H-Baseline,27,0.00047974731768231935,4.127114295959473,0.0
T2-A-H-Baseline,28,0.0004794243416513367,4.188678741455078,0.0
T2-A-H-Baseline,29,0.0004581090776850716,4.172234058380127,0.0
T2-A-H-Baseline,30,0.0004150734857199033,4.381050109863281,0.0
T2-A-H-Baseline,31,0.00037375488918825494,4.4642205238342285,0.0
