Group,MPJPE,Avg_Entropy,Avg_KTI,Avg_Rank,Mask_Type,Mask_Layers,Hybrid_Config
Trained,0.0,5.242916,0.0,172.57703,none,[],{}
Trained,0.0,5.2415943,1.0,173.96257,none,[],{}
