Group,MPJPE,Avg_Entropy,Avg_KTI,Avg_Rank,Mask_Type,Mask_Layers,Hybrid_Config
Control,67.72329254150391,3.6894107,0.7588130373507738,106.33061,none,[],{}
Control,67.72329254150391,3.6894107,0.7588130373507738,106.33061,none,[],{}
Control,64.26480499267578,3.6878862,0.5883460848033428,106.57214,none,[],{}
Control,64.26480499267578,3.6878862,0.6845865171961487,106.57214,none,[],{}
Control,68.76547164916992,3.687923,0.05162111,106.296974,none,[],{}
Control,64.26480499267578,3.6878862,0.05109431,106.57214,none,[],{}
Control,64.26480499267578,3.6878862,0.006226854511696729,106.57214,none,[],{}
Control,64.26480499267578,3.6878862,0.006226854511696729,106.57214,none,[],{}
Control,64.26480499267578,3.6878862,0.006226854511696729,106.57214,none,[],{}
