Group,MPJPE,Avg_Entropy,Avg_KTI,Avg_Rank,Mask_Type,Mask_Layers,Hybrid_Config
HardMask,0.0,0.6975557,1.0,168.09885,hard,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",{}
HardMask,0.0,0.69833714,1.0,167.66386,hard,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",{}
