Group,MPJPE,Avg_Entropy,Avg_KTI,Avg_Rank,Mask_Type,Mask_Layers,Hybrid_Config
Control,0.0,5.2425923,1.0,173.01776,none,[],{}
Control,0.0,5.2422433,1.0,172.91551,none,[],{}
