Group,MPJPE,Avg_Entropy,Avg_KTI,Avg_Rank,Mask_Type,Mask_Layers,Hybrid_Config
Trained,0.0,5.242617,1.0,173.16302,none,[],{}
Trained,0.0,5.2416205,1.0,174.11382,none,[],{}
