Name,MPJPE,GFLOPs,Params,FPS
Baseline (ViT),425.15312255859374,0,0,10.224141099106674
Pure Mamba Backbone,428.1509069824219,0,0,10.012171760513032
Pure GCN Backbone,442.91614318847655,0,0,18.56927426671957
Adaptive NViT (Proposed),496.1560302734375,0,0,13.529316361647961
