Group,MPJPE,Avg_Entropy,Avg_KTI,Avg_Rank,Mask_Type,Mask_Layers,Hybrid_Config
Control,0.0,5.2422333,1.0,173.46526,none,[],{}
Control,0.0,5.242521,1.0,172.88165,none,[],{}
