Group,MPJPE,Avg_Entropy,Avg_KTI,Avg_Rank,Mask_Type,Mask_Layers,Hybrid_Config
Control,0.0,5.5024896,1.0,47.21297,none,[],{}
Control,0.0,5.5044475,1.0,44.91152,none,[],{}
Control,0.0,5.5049996,1.0,46.352795,none,[],{}
Control,0.0,5.5050507,1.0,46.784847,none,[],{}
