layer,entropy,kti,erank
0,4.511481523513794,0.0009012492319016019,29.823281288146973
1,4.249748468399048,0.0035380778499529697,129.9208221435547
2,3.606062889099121,0.001736961152346339,135.882080078125
3,3.3619086742401123,0.002148206807760289,131.55005645751953
4,3.7833420038223267,0.0021481961957761087,98.88214874267578
5,2.9956096410751343,0.003242208724259399,135.3183822631836
6,2.8249027729034424,0.004443653277121484,145.1494903564453
7,2.616679310798645,0.005840169105795212,138.41722869873047
8,2.0458734035491943,0.006156655465019867,127.50151062011719
9,2.0404990911483765,0.0031160935686784796,109.41250610351562
10,1.7989112734794617,0.0059131078160135075,111.59713745117188
11,2.2607017755508423,0.004189345861959737,101.867919921875
12,2.2903025150299072,0.004386197433632333,102.4863052368164
13,2.4497194290161133,0.0031187629138003103,86.6922721862793
14,2.5291836261749268,0.002598482751636766,91.08229064941406
15,2.4490013122558594,0.0025982093102356885,90.20598220825195
16,2.479076385498047,0.002519666977605084,80.07782745361328
17,2.416239380836487,0.002652849449077621,89.28402709960938
18,2.4827985763549805,0.002456720594636863,86.21296691894531
19,2.456810712814331,0.002596633064968046,87.8638916015625
20,2.3812721967697144,0.002437545179418521,84.7087516784668
21,2.410281181335449,0.0023809573758626357,91.84624862670898
22,2.489866256713867,0.0020874507899861783,91.42475509643555
23,2.3100228309631348,0.0020376224565552548,84.7730484008789
24,2.410392165184021,0.0020675541782111395,83.29557418823242
25,2.319055676460266,0.0018037591653410345,76.18368530273438
26,2.5070929527282715,0.0018473549207556061,83.84415435791016
27,2.383570432662964,0.001805819625587901,76.95088195800781
28,2.4190109968185425,0.0016855821704666596,76.46470642089844
29,2.3641796112060547,0.0015939871063892497,72.60163497924805
30,2.491725444793701,0.0015913445786281954,76.00819396972656
31,2.5524237155914307,0.0016221617588598747,80.89009094238281
