layer,entropy,kti,erank
0,4.543486595153809,0.0008617398016212974,30.586209297180176
1,4.246436357498169,0.003371233251527883,125.69645690917969
2,3.6131633520126343,0.0017442903808841947,135.98855590820312
3,3.312848925590515,0.002415620689134812,129.89762115478516
4,3.751494526863098,0.0023488735751016065,98.58012390136719
5,2.9986850023269653,0.0032653228408889845,134.98528289794922
6,2.8072662353515625,0.004585383474477567,145.26392364501953
7,2.542046308517456,0.005930929823080078,138.7107696533203
8,2.0455397367477417,0.006083534943172708,127.47774124145508
9,2.0532281398773193,0.0032258782084682025,109.67765808105469
10,1.8214333653450012,0.0060128390323370695,112.74337005615234
11,2.274463653564453,0.004211589410260785,102.56520462036133
12,2.31491219997406,0.0045354109824984334,103.05733871459961
13,2.4802712202072144,0.0031898372690193355,89.15701675415039
14,2.5199227333068848,0.00270560789067531,90.98595809936523
15,2.4423054456710815,0.0027404410757299047,89.65614700317383
16,2.4457567930221558,0.002695259558095131,77.3296012878418
17,2.415388822555542,0.00288626398469205,86.85176849365234
18,2.4829550981521606,0.00246405411962769,84.09455108642578
19,2.4623204469680786,0.0026838074008992407,86.43914794921875
20,2.3852622509002686,0.002612527212477289,83.29759979248047
21,2.4191622734069824,0.0025193297988153063,89.8966178894043
22,2.503849983215332,0.0022549301720573567,89.39397430419922
23,2.3320289850234985,0.0022662205519736744,82.44702911376953
24,2.418019413948059,0.002213241376011865,81.64336776733398
25,2.336665153503418,0.002053077630989719,73.71226119995117
26,2.511657476425171,0.0019754428867599927,81.87133026123047
27,2.393397331237793,0.0020391792386362795,77.31561660766602
28,2.411572575569153,0.0018218067107227398,74.51240539550781
29,2.3851698637008667,0.0018136174076062161,73.19326400756836
30,2.5303624868392944,0.001737434242386371,77.18357849121094
31,2.577921986579895,0.0016873213317012414,82.3778305053711
