layer,entropy,kti,erank
0,4.4861814975738525,0.0009183633283100789,29.505032539367676
1,4.294786214828491,0.0033872661224449985,128.86329650878906
2,3.6395621299743652,0.0019179728769813664,136.00826263427734
3,3.347461700439453,0.002316477199201472,131.7917251586914
4,3.775982618331909,0.002351119735976681,99.76519393920898
5,3.0253939628601074,0.003449880125117488,135.63623809814453
6,2.870128631591797,0.004569601267576218,145.18728637695312
7,2.608359932899475,0.0059115649200975895,138.35486602783203
8,3.0879485607147217,0.004909627066808753,157.35521697998047
9,2.9816006422042847,0.0016964740061666816,121.91059494018555
10,2.5836247205734253,0.004690944275353104,119.04296875
11,3.3991485834121704,0.0024674953165231273,96.92759323120117
12,3.447512626647949,0.003081059068790637,113.31428909301758
13,3.729422092437744,0.0015297251993615646,66.14342880249023
14,3.8009488582611084,0.0011900962381332647,62.149356842041016
15,3.6205713748931885,0.0010375885431130882,56.85944366455078
16,3.902786135673523,0.0009818940015975386,37.46501922607422
17,3.6642961502075195,0.0009642862023611087,53.50705528259277
18,3.960318684577942,0.0007017296429694397,36.535186767578125
19,3.8193386793136597,0.0008306854088004911,47.22699737548828
20,3.8095611333847046,0.0007405288070003735,44.99397087097168
21,3.814073324203491,0.000689580405378365,49.996925354003906
22,4.021005153656006,0.0005166823948457022,34.25705337524414
23,3.850381016731262,0.0004918109943901072,35.62147331237793
24,2.634177088737488,0.0021140034150448628,91.40130615234375
25,2.6414127349853516,0.0020729112802655436,92.16867065429688
26,2.782491683959961,0.0021765535057056695,98.31464385986328
27,2.721917510032654,0.0021318463841453195,95.13085174560547
28,2.7661378383636475,0.0020661138587456662,96.89847564697266
29,2.7347596883773804,0.0019012682132597547,94.92589950561523
30,2.824492931365967,0.0019328445487190038,97.92318725585938
31,2.8526830673217773,0.0019859431995428167,101.74659729003906
