layer,entropy,kti,erank
0,4.5179901123046875,0.0008287413238576846,29.449585914611816
1,4.247548341751099,0.0034494377541705035,132.23643493652344
2,3.612045168876648,0.0017366106731060427,135.68724060058594
3,3.383084297180176,0.0022012652261764742,130.78279876708984
4,3.798659563064575,0.0022100787609815598,97.69916534423828
5,3.0398975610733032,0.0033975480328081176,136.35345458984375
6,2.8691890239715576,0.004541701870039105,145.02156829833984
7,2.6537575721740723,0.005842895596288145,137.54499053955078
8,3.108435869216919,0.004966357722878456,157.37833404541016
9,3.0145407915115356,0.0016365608062187675,119.71158981323242
10,2.62413227558136,0.004631186719052494,119.31650161743164
11,3.368145704269409,0.002377634147705976,95.85883331298828
12,3.4599002599716187,0.002958698838483542,111.89566421508789
13,3.704506993293762,0.001413265177689027,62.55947494506836
14,3.733758330345154,0.0010932995537586976,58.20061492919922
15,3.5871527194976807,0.0009622161815059371,54.22701454162598
16,3.7952364683151245,0.0009201392367685912,32.70808792114258
17,3.614173173904419,0.000859494570249808,51.004451751708984
18,3.889277935028076,0.0006926145251782145,33.65195274353027
19,3.750186324119568,0.0007813710089976666,43.6143913269043
20,3.7163251638412476,0.0006779995092074387,41.97394943237305
21,3.746362566947937,0.0006547677803609986,51.953575134277344
22,3.9349974393844604,0.0004950634620399796,36.14970779418945
23,3.7023662328720093,0.0004746019467347651,38.51711463928223
24,3.864390730857849,0.0004959266416335595,30.349008560180664
25,3.898413300514221,0.0003471475602054852,25.277668952941895
26,4.142049312591553,0.0003671702306746738,26.083186149597168
27,4.023293972015381,0.00038310414765874157,21.169821739196777
28,4.0470616817474365,0.0003397448444957263,16.657647132873535
29,3.978392243385315,0.00030242924731282983,16.259443283081055
30,4.279930830001831,0.0003604605162763619,13.785008907318115
31,4.375249624252319,0.00033683874698908767,14.107352256774902
